"Sample","HighRisk_Count","HighRisk_Percent"
"GSM8061826",2269,16.2175684368523
"GSM8061830",728,15.0226991333058
"GSM8061824",1370,13.4077118809943
"GSM8061829",1061,11.9173312366618
"GSM8061827",782,9.36190590207111
"GSM8061828",706,5.9437615760229
"GSM8061825",542,5.10309763675737
"GSM8061832",201,4.61009174311927
"GSM8061831",81,3.25693606755127
"GSM8061833",211,2.17548200845448
"GSM8061835",104,2.12983821421257
"GSM8061834",96,1.17488679476196
