"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","15/617","93/9377",0.161290322580645,2.45124692842579,3.73262663045547,0.00101718868439075,0.0047517242827968,0.00333454335634863,"3123/3113/3122/3115/3119/3109/3117/3127/920/6772/3111/3459/3118/3460/4094",15
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","20/617","144/9377",0.138888888888889,2.11079596614443,3.56486797583679,0.00115281468264799,0.00530944227078722,0.00372592440055244,"5688/5691/5694/292/5689/10105/5713/5690/5685/7416/5686/5714/5701/5704/5707/10213/5684/5702/5708/5709",20
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","34/617","299/9377",0.11371237458194,1.72817007529149,3.3960389335615,0.00119525709056618,0.00542845928632142,0.00380944511320801,"3689/10109/942/8832/10092/2885/4067/60/387/10376/10097/4637/10096/8829/5879/23136/84790/3937/10095/203068/57823/8828/4478/3676/5376/998/962/1445/5777/5906/3635/5058/2037/3688",34
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","12/617","67/9377",0.17910447761194,2.72198166380416,3.75396666478933,0.00125378624801436,0.00561627538494104,0.00394124588416915,"2597/5230/10327/5315/2023/217/7167/3101/83440/2203/3939/5211",12
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","13/617","79/9377",0.164556962025316,2.50089243583694,3.55522975343991,0.00179322406866157,0.00788455235114623,0.00553301919378683,"533/9296/1175/8992/9114/526/6507/1173/1213/1211/523/51382/529",13
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","7/617","28/9377",0.25,3.79943273905997,3.93700350448169,0.00180838356677666,0.00788455235114623,0.00553301919378683,"9296/8992/9114/526/523/51382/529",7
"Metabolism","Glycan biosynthesis and metabolism","hsa00513","Various types of N-glycan biosynthesis","9/617","44/9377",0.204545454545455,3.10862678650361,3.72061517265501,0.00193020228569312,0.0083049493081796,0.0058280346022313,"3074/6185/4245/58505/11320/6184/1603/746/1650",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","15/617","100/9377",0.15,2.27965964343598,3.41420837881909,0.0021537691349705,0.00903374402137548,0.00633946948868454,"1436/6348/3606/3576/1230/414062/6351/7852/7133/9560/3587/7132/2921/7124/4055",15
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","16/617","110/9377",0.145454545454545,2.21057904818034,3.38937204019488,0.00215483802344736,0.00903374402137548,0.00633946948868454,"3162/2597/5230/2023/7076/3459/3101/3460/9978/6923/1978/3939/3091/9470/5211/4055",16
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","14/617","91/9377",0.153846153846154,2.33811245480613,3.40406855475803,0.00234806128749221,0.00971919039253104,0.00682048448598669,"11006/2885/4067/2213/975/6850/118788/10288/5879/10859/11025/5777/5880/3635",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","20/617","154/9377",0.12987012987013,1.97373129301816,3.23342440269077,0.00261790197802641,0.010700674335183,0.00750924514749682,"3689/6696/2335/60/3987/83706/5879/64098/7094/7040/3676/998/718/1277/5880/3611/2316/3685/3688/1278",20
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","21/617","168/9377",0.125,1.89971636952998,3.12286603911103,0.00330433054601426,0.0133217923977203,0.00934862624401423,"2752/2512/2495/29108/9555/6772/3553/3459/3460/5478/292/637/581/3454/834/7132/7416/94239/7124/142/55766",21
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","12/617","75/9377",0.16,2.43163695299838,3.30350289795512,0.00337834944901433,0.0133217923977203,0.00934862624401423,"2752/2597/5230/10993/5315/2023/7167/6888/3417/7086/3418/5211",12
"Genetic Information Processing","Folding, sorting and degradation","hsa03060","Protein export","7/617","31/9377",0.225806451612903,3.4317456997961,3.59902980639177,0.00338137238229597,0.0133217923977203,0.00934862624401423,"60559/10952/23480/90701/29100/29927/3309",7
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","35/617","333/9377",0.105105105105105,1.5973591095147,2.94561958751993,0.0038657085629211,0.0150486511913714,0.010560456976401,"6696/533/3107/2335/9296/3105/3106/8992/2885/5315/6772/9114/526/3133/537/10134/5925/581/1978/3676/9636/998/3454/4599/4600/7132/3134/1277/7124/523/51382/529/3685/3688/1278",35
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","11/617","69/9377",0.159420289855072,2.42282667418317,3.14809395035636,0.00506018559471516,0.0192621720960522,0.0135173137516156,"2207/241/2885/4067/6850/240/5879/3937/5880/7124/3635",11
"Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","5/617","18/9377",0.277777777777778,4.22159193228885,3.63070853545796,0.00506589235553666,0.0192621720960522,0.0135173137516156,"3074/2720/2517/2519/4126",5
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","14/617","101/9377",0.138613861386139,2.10661617215206,2.96740386426983,0.00616124773834265,0.0231577932234258,0.0162510829638076,"2335/3576/6772/3553/5879/7040/581/7056/998/7046/1281/1277/7124/1278",14
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","14/617","103/9377",0.135922330097087,2.06571100376076,2.88618287071273,0.0073263517728915,0.0272240571560855,0.0191046015130424,"3689/929/2335/5052/3576/3553/7097/7040/5269/1281/2921/1277/7124/1278",14
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","25/617","232/9377",0.107758620689655,1.63768652545688,2.6101093722237,0.00996521906376595,0.0366137824028255,0.0256938823879477,"3689/10109/2335/5216/1072/7114/10092/60/387/10097/10096/3071/5879/7852/10095/4478/3676/998/23191/5499/10788/5880/5058/3685/3688",25
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","9/617","56/9377",0.160714285714286,2.44249247510998,2.87326474495664,0.0102216851841039,0.0371387895022442,0.0260623084226275,"6185/4245/58505/11320/6184/1603/746/6480/1650",9
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","12/617","87/9377",0.137931034482759,2.09623875258481,2.72619080158883,0.0112052218924334,0.0402649182288541,0.0282560829676169,"29796/7170/1349/6546/1340/483/1329/9377/27089/1347/1537/7384",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","30/617","298/9377",0.100671140939597,1.5299729150577,2.46741458336641,0.0128399795355826,0.0456377533492992,0.0320264935784556,"1436/6348/58191/920/3606/10673/3576/1230/3553/414062/5008/3459/1438/6351/3460/7040/7852/7133/9560/3557/3587/3454/7046/7132/2921/958/7124/3575/3597/4055",30
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","22/617","203/9377",0.108374384236453,1.64704473417378,2.47344516360499,0.0141363624821676,0.0493361148048044,0.0346218349507399,"6696/2335/2885/60/387/5879/64098/7094/3676/998/5499/5906/7408/1277/5880/7791/5058/3611/2316/3685/3688/1278",22
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","6/617","31/9377",0.193548387096774,2.94149631411094,2.87345140738644,0.014182247069271,0.0493361148048044,0.0346218349507399,"6888/5226/7086/2203/5211/25796",6
