"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","39/617","235/9377",0.165957446808511,2.52217662678023,6.27159059171108,6.25313114452208e-08,6.1962844977537e-07,4.34826982298505e-07,"514/2885/29796/4708/60/518/1349/10476/1340/4696/11343/1329/9377/4700/4709/515/27089/4694/4707/522/1347/4706/4695/509/4726/521/10063/516/1537/7384/25915/388753/4728/54539/374291/55967/4711/28958/2182",39
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","16/617","51/9377",0.313725490196078,4.76791559411447,7.16040976672423,8.36830562913444e-08,8.04834100213812e-07,5.64795859799166e-07,"533/9296/8992/60/9114/526/537/10952/23480/9601/375/30001/29927/523/51382/529",16
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","23/617","100/9377",0.23,3.49547811993517,6.65808471021664,8.88634930961975e-08,8.30238921213045e-07,5.82623804360032e-07,"3123/3113/3122/3115/929/3119/3109/3117/3127/2209/1436/920/951/948/3553/3111/3118/1438/960/290/3676/7124/3575",23
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","40/617","248/9377",0.161290322580645,2.45124692842579,6.14688203587566,9.43692320143032e-08,8.57187190796587e-07,6.01534870734447e-07,"929/10109/5216/2597/10092/5788/6281/23643/7184/302/60/387/3606/391/29108/10376/3576/10097/10096/3071/3553/5879/7097/84790/4074/10095/203068/581/998/375/5898/23191/834/7132/7124/5058/837/55207/2316/127829",40
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","24/617","112/9377",0.214285714285714,3.25665663347997,6.37604114395879,1.94900574492562e-07,1.7224996718667e-06,1.20877169955558e-06,"3123/3113/3122/3115/3119/3109/3117/3127/2771/23643/240/6772/3111/3459/3118/7097/3460/7040/3587/10105/7132/958/7124/3688",24
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","33/617","200/9377",0.165,2.50762560777958,5.71949211759121,7.53270327768163e-07,6.48208939947867e-06,4.54883466630082e-06,"10109/2597/10092/60/3059/387/3606/29108/10376/3576/10097/10096/3071/7009/3553/5879/84790/10095/203068/581/10972/7456/998/375/4644/23191/834/5777/7132/7124/5058/837/3688",33
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","30/617","173/9377",0.173410404624277,2.63544467449246,5.76195592342076,8.19991169630835e-07,6.87531057613547e-06,4.82477935167401e-06,"3123/3113/3122/3115/3119/3109/3117/3127/60/3606/29108/3576/6772/3553/3111/3459/3118/3460/292/637/581/4938/3454/4599/834/4600/7132/7416/5611/7124",30
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","26/617","138/9377",0.188405797101449,2.86334061494374,5.85219297179015,8.75574026934711e-07,7.15781767019126e-06,5.02302994399387e-06,"10109/2335/10092/2533/920/60/387/3606/391/29108/3576/10097/10096/3553/5879/7454/3937/10095/3676/7456/998/834/8935/5880/7124/3688",26
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","21/617","98/9377",0.214285714285714,3.25665663347997,5.95973928969108,1.13125320894116e-06,9.0224341298478e-06,6.33153272270021e-06,"2214/10109/2209/1072/10092/4082/5788/3055/4067/2213/6850/10097/10096/5879/7454/10095/998/7408/5880/3635/5058",21
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","35/617","224/9377",0.15625,2.37464546191248,5.52627266298454,1.30870680600938e-06,1.01892172753588e-05,7.15032791253248e-06,"3123/3113/3122/3689/3115/3119/6688/3109/3117/3107/3127/3105/3106/567/706/920/811/8829/821/3111/3133/3118/7094/7040/5925/51529/292/581/7046/7132/7416/3134/958/7124/4055",35
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","18/617","78/9377",0.230769230769231,3.5071686822092,5.90081582868863,2.13318032763321e-06,1.62220922589782e-05,1.13839243922654e-05,"3689/714/929/712/713/2771/1072/23643/387/29108/3576/3553/808/3394/834/718/7124/3688",18
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","14/617","50/9377",0.28,4.25536466774716,6.12509723700309,2.52010934528856e-06,1.87289944524854e-05,1.31431540017441e-05,"3689/4035/3606/975/3576/5175/948/3553/7097/7040/2995/958/6383/7124",14
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","25/617","142/9377",0.176056338028169,2.67565685849293,5.33961739275627,5.11186627944952e-06,3.71462282973332e-05,2.60675286297075e-05,"1535/1514/3162/9446/7184/60/387/4688/5175/3553/2950/5879/4259/4208/4318/808/7056/4258/7132/6612/5880/6383/7124/3685/2947",25
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","17/617","78/9377",0.217948717948718,3.31232597764202,5.44223842088477,9.31096396711333e-06,6.61888090705665e-05,4.64482870670642e-05,"10109/2335/10092/60/3059/387/391/10097/10096/5879/10095/1213/998/1211/3611/3688/55752",17
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","16/617","71/9377",0.225352112676056,3.42484077887096,5.44289812322555,1.08352365242549e-05,7.53855817751352e-05,5.29021626492177e-05,"533/9296/8992/4067/3576/9114/526/5879/537/998/1445/2921/5058/523/51382/529",16
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","32/617","216/9377",0.148148148148148,2.25151569722072,4.93845457539525,1.1673345125379e-05,7.95246636666442e-05,5.58067815204521e-05,"1535/929/4973/6348/23643/7184/4067/387/3606/4688/29108/3576/948/19/4689/3553/414062/5879/7097/4318/808/637/581/998/834/5906/7132/2921/958/30001/7124/3309",32
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","23/617","133/9377",0.172932330827068,2.62817903754524,5.01877053201162,1.64490237560818e-05,0.000109772056494669,7.70330221015218e-05,"7305/2207/2214/3689/3107/3105/3106/2885/10870/6850/3459/7462/5879/3133/3460/3937/637/962/3454/5777/5880/7124/5058",23
