"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"XIST",3.83081090693538e-68,-1.5387052226749,0.092,0.198,1.03860945308832e-63
"CCNL2",4.37193141464034e-68,-1.48176685746553,0.056,0.149,1.18531804513729e-63
"UBE2L6",5.149876773617e-68,1.1296427232099,0.249,0.119,1.39623459086304e-63
"ATP5MD",6.04843535458605e-68,0.745161167705193,0.41,0.257,1.63985179333537e-63
"BCLAF1",6.22903851881114e-68,-1.25792957367392,0.085,0.191,1.68881692322008e-63
"SELENOM",6.82656378510342e-68,-0.494728837534831,0.245,0.414,1.85081797341724e-63
"TSPYL1",7.58660130165662e-68,-1.68801782498026,0.035,0.114,2.05687934490514e-63
"KCTD3",7.67944247923604e-68,-1.53400021420862,0.043,0.127,2.08205044497048e-63
"MSN",9.82513352422242e-68,0.776946382693695,0.317,0.17,2.66379020108718e-63
"AK5",1.00334033278419e-67,-1.81506383342342,0.039,0.12,2.72025631024449e-63
"LRIG1",1.04925731117569e-67,-1.76739676011443,0.032,0.109,2.84474642205953e-63
"ZC3H6",1.08289374115527e-67,-1.84124633479709,0.031,0.106,2.93594151102017e-63
"CD52",1.57664141571184e-67,0.886746206181592,0.204,0.082,4.27459020627793e-63
"ITGA4",2.08894020428867e-67,1.22362656201634,0.158,0.051,5.66353468186743e-63
"NSD3",2.36639531560023e-67,-1.36898612318076,0.078,0.18,6.41577097965533e-63
"FTX",3.3151961783962e-67,-1.83120463025767,0.041,0.124,8.98815987886777e-63
"HP1BP3",3.51041767663121e-67,-0.879996069057815,0.209,0.345,9.51744440488254e-63
"TPM1",3.67205676232542e-67,-0.259455101875132,0.273,0.452,9.95568029401668e-63
"SNHG12",4.729955324818e-67,-1.67714866929911,0.049,0.136,1.28238548766466e-62
"KDM2A",4.8985862426089e-67,-1.54003175074157,0.053,0.142,1.32810470209613e-62
"JMJD1C",5.00683216144315e-67,-1.32320886439096,0.13,0.247,1.35745233561047e-62
"SH3BGRL",5.70922897500046e-67,0.670288980030596,0.422,0.263,1.54788615970213e-62
"RNF19B",6.83625671168994e-67,-1.59314683894846,0.048,0.135,1.85344591967338e-62
"BDP1",7.50501707616495e-67,-1.39602577410709,0.075,0.175,2.03476022968984e-62
"RNF11",7.59429705204942e-67,-1.2874017965086,0.068,0.165,2.05896581675164e-62
"TANK",1.5381024930249e-66,-1.39255007425092,0.119,0.233,4.1701034790891e-62
"COX4I1",1.80944268219068e-66,0.478033149884722,0.672,0.519,4.90576099995536e-62
"ADD3",1.98902867986553e-66,-1.51325031370191,0.057,0.148,5.39265455685141e-62
"PPP3CA",2.73717443577371e-66,-1.7062511964587,0.056,0.146,7.42102733026969e-62
"UPP1",3.13961279329104e-66,1.4871207995958,0.165,0.058,8.51211820517066e-62
"GCDH",3.43734354774081e-66,-1.67354519159039,0.034,0.111,9.31932582663488e-62
"ANKRD37",3.53963148977877e-66,-1.91405024749414,0.03,0.104,9.59664889508821e-62
"SAMD9L",3.91813922536841e-66,1.42734622469835,0.165,0.058,1.06228590678188e-61
"TOMM7",4.22154869351806e-66,-0.698287941175511,0.33,0.471,1.14454628178662e-61
"SLC25A36",6.23464113766058e-66,-1.57333473082376,0.04,0.122,1.69033590524254e-61
"ZNF638",7.54058042354345e-66,-1.06853674866747,0.127,0.244,2.0444021644311e-61
"PIM1",9.36426620960798e-66,-2.26138732408773,0.041,0.121,2.53883985474891e-61
"MPHOSPH8",1.70609562628498e-65,-0.966800896595087,0.157,0.281,4.62556646198383e-61
"PGRMC1",1.86078213267483e-65,-1.19713788023106,0.086,0.191,5.044952518108e-61
"LACTB",3.82648732651125e-65,1.20233653296058,0.209,0.09,1.03743724396373e-60
"IGHG1",3.84768729677673e-65,7.63847427234147,0.156,0.057,1.04318497990211e-60
"ERBB4",4.84747825016113e-65,-1.97087430961118,0.04,0.12,1.31424830318369e-60
"RNF181",5.07529355465046e-65,1.02255559082637,0.262,0.131,1.37601358853683e-60
"GPX4",6.24541916352786e-65,0.56122954713999,0.605,0.459,1.69325804361567e-60
"DRAM2",7.42851206725777e-65,1.41071329521883,0.177,0.068,2.01401819167493e-60
"CARD16",9.90590451749888e-65,1.73943518822011,0.126,0.033,2.6856888327843e-60
"PMP22",1.54057225303974e-64,1.06176665884431,0.309,0.177,4.17679949244135e-60
"YIF1B",1.67999874955009e-64,1.64856351108901,0.14,0.042,4.55481260978019e-60
"G0S2",2.19710871937483e-64,1.83325503605262,0.189,0.08,5.95680115996904e-60
"DPP7",2.32894588497702e-64,1.05890063466498,0.258,0.13,6.31423808334971e-60
"C1S",3.33459689506288e-64,-1.13292988492264,0.07,0.168,9.04075910189449e-60
"P2RX4",3.41305247406706e-64,1.64329432087305,0.148,0.048,9.25346786769061e-60
"CHIC2",3.96854992402716e-64,-1.88512110123568,0.032,0.105,1.07595325540225e-59
"AOAH",4.30082409946508e-64,1.47509888976475,0.112,0.025,1.16603942984697e-59
"SSR3",6.68127740195845e-64,0.725425615393935,0.396,0.247,1.81142792921898e-59
"RNF19A",1.05678849660084e-63,-1.46415281994463,0.059,0.149,2.8651649719842e-59
"CSTA",1.24832881715907e-63,1.21729066398954,0.214,0.094,3.38446908908166e-59
"SENP6",1.44995924732072e-63,-1.09009472354039,0.108,0.218,3.93112951133594e-59
"FBLN1",1.53950585118386e-63,-1.84637953977721,0.083,0.179,4.17390826372969e-59
"C1orf21",1.67370358171487e-63,-1.00468466540739,0.119,0.234,4.53774515074534e-59
"GPRIN3",1.78561703543251e-63,1.34443549755223,0.149,0.048,4.84116490646461e-59
"SYTL2",1.99318821255323e-63,-1.41166804993212,0.062,0.154,5.40393188187433e-59
"RPN1",2.01810619500052e-63,1.03331215330857,0.262,0.134,5.4714895158854e-59
"WIPF1",2.68947776059776e-63,0.998998267360491,0.186,0.073,7.29171210453266e-59
"SMC5",2.80133833497383e-63,-1.42131068487614,0.066,0.159,7.59498849378104e-59
"GLT8D2",3.13547763004367e-63,-1.79062026172712,0.03,0.102,8.50090695057441e-59
"NEK6",5.15641072957291e-63,1.9963454631911,0.117,0.029,1.39800607700181e-58
"DBNL",6.31706481485827e-63,1.49691788510585,0.162,0.059,1.71268261260437e-58
"TBC1D2",6.51326798631003e-63,1.96674795418705,0.123,0.033,1.76587721644838e-58
"SMCO4",8.6268769294116e-63,1.78917943556643,0.129,0.037,2.33891887310207e-58
"CDC42EP3",1.02515213107895e-62,-1.68615917358305,0.037,0.113,2.77939245778124e-58
"NCOA2",1.18769100236546e-62,-1.59123483810565,0.044,0.125,3.22006784561325e-58
"STK17A",1.43539349390884e-62,-1.51265067391117,0.085,0.183,3.89163884068565e-58
"SLC27A4",1.49005759989479e-62,1.45033881903685,0.164,0.06,4.03984416483476e-58
"KDM5B",1.50579683881001e-62,-1.24129840227932,0.081,0.18,4.08251638938169e-58
"FUBP1",2.03239068336133e-62,-1.20369325679823,0.088,0.189,5.51021762072923e-58
"SERINC2",2.70975745271754e-62,-1.31635579413903,0.078,0.176,7.3466944058078e-58
"ZNF91",2.88416017209683e-62,-1.15180068451934,0.083,0.183,7.81953505858892e-58
"KDSR",2.9201544917452e-62,-1.53359347310506,0.05,0.134,7.91712285801959e-58
"MAML2",3.64326834277709e-62,-1.77462919891105,0.082,0.178,9.87762913093725e-58
"ZC3HAV1",4.20673851986533e-62,-1.77212591224138,0.052,0.136,1.14053094750589e-57
"CCDC74A",6.21526295814833e-62,-2.04645721519656,0.039,0.115,1.68508209321318e-57
"LRIF1",6.37931914460696e-62,-1.44350546011265,0.058,0.146,1.72956100648584e-57
"UQCRQ",2.76779640891545e-61,0.677393780837815,0.477,0.332,7.50404962385156e-57
"NCOA4",2.94602895274235e-61,1.14599913947513,0.246,0.124,7.98727369667505e-57
"CRABP2",3.09331640439059e-61,-0.647810065205808,0.113,0.231,8.38659943558378e-57
"ISG15",5.02858325508003e-61,0.919881971506189,0.286,0.156,1.3633494921173e-56
"ADPGK",5.52220491214678e-61,1.57356854254749,0.141,0.045,1.49718019578124e-56
"COX6C",9.06419481034401e-61,-0.274413887271126,0.628,0.446,2.45748449698047e-56
"ANKRD17",9.17714297767144e-61,-1.43140601006794,0.068,0.16,2.48810700410628e-56
"RBBP8",9.45962803391272e-61,-0.980805732130878,0.074,0.171,2.56469435255442e-56
"AHI1",1.52328789276829e-60,-1.40690590173281,0.05,0.133,4.12993813487338e-56
