"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOSB",0,-4.13706296943801,0.153,0.772,0
"TGFBI",0,5.72314871162992,0.647,0.078,0
"CYBA",0,3.63216464440424,0.681,0.122,0
"ATF3",0,-3.79307053628971,0.225,0.781,0
"TYROBP",0,6.02760345178218,0.595,0.042,0
"EGR1",0,-3.40711969383074,0.259,0.806,0
"FCER1G",0,6.32693950353962,0.565,0.026,0
"LAPTM5",0,4.84227001153646,0.576,0.059,0
"CTSB",0,5.02673119333836,0.746,0.23,0
"AIF1",0,6.50174755528029,0.529,0.015,0
"CTSS",0,4.79713627559121,0.553,0.052,0
"SH3BGRL3",0,2.66358435255577,0.706,0.208,0
"GRN",0,3.68882554879242,0.639,0.146,0
"LYZ",0,6.73157816191066,0.512,0.021,0
"FCGR3A",0,7.62747717470227,0.495,0.007,0
"HLA-DRB1",0,4.96034656169933,0.607,0.133,0
"HLA-DPA1",0,5.5308148058501,0.549,0.077,0
"SRGN",0,2.76848132345334,0.589,0.123,0
"HLA-DRA",0,5.22981383251709,0.631,0.174,0
"CCN1",0,-3.06193213554255,0.087,0.541,0
"SFRP1",0,-7.36571562120439,0.008,0.459,0
"ITGB2",0,4.84912986039333,0.478,0.03,0
"CTSC",0,4.27846684420401,0.503,0.058,0
"CTSZ",0,3.61638893242474,0.57,0.129,0
"BTG2",0,-2.84425040777287,0.194,0.633,0
"PPP1R15A",0,-2.22661033282832,0.262,0.696,0
"HLA-DPB1",0,4.89920607421294,0.53,0.097,0
"ZFP36",0,-3.20619249558198,0.44,0.865,0
"C1QC",0,7.34941686777961,0.44,0.016,0
"MS4A6A",0,6.76779960640497,0.434,0.011,0
"CLU",0,-1.10219660437404,0.199,0.62,0
"CD14",0,4.13605848647253,0.514,0.096,0
"JUNB",0,-3.03382491612862,0.468,0.886,0
"FCGRT",0,2.81078327615041,0.587,0.169,0
"NR4A1",0,-3.39969692077566,0.117,0.534,0
"HLA-DQB1",0,4.96454259006202,0.461,0.051,0
"RPL3",0,-2.14230228759661,0.307,0.717,0
"ARHGDIB",0,2.2229024730201,0.547,0.138,0
"MYC",0,-4.01678883055343,0.062,0.471,0
"CAPG",0,2.88366784649918,0.552,0.145,0
"CCNL1",0,-2.69469296645659,0.15,0.556,0
"SPP1",0,7.50760725484517,0.452,0.046,0
"TACSTD2",0,-3.33230536358856,0.125,0.53,0
"SPI1",0,5.60593913717714,0.413,0.01,0
"APOC1",0,5.42266258681596,0.479,0.077,0
"CTSL",0,4.4943582911248,0.536,0.135,0
"CTSH",0,3.23313720789382,0.492,0.091,0
"EIF4A2",0,-1.79285392740954,0.298,0.699,0
"IER2",0,-2.23692959232629,0.433,0.834,0
"CST3",0,2.0372803332982,0.888,0.489,0
"MAFF",0,-4.1788643555205,0.04,0.438,0
"C1QA",0,7.89715201843768,0.406,0.009,0
"TREM2",0,5.29314303912143,0.418,0.022,0
"MSR1",0,6.45442297001274,0.403,0.009,0
"DNAJB1",0,-2.8516035361286,0.314,0.708,0
"CD53",0,3.22019127733753,0.442,0.051,0
"EMP3",0,2.1034576220623,0.594,0.203,0
"HLA-DMB",0,5.46992305938869,0.404,0.02,0
"BRD2",0,-2.37964332286929,0.176,0.559,0
"ATP6V0B",0,2.09657990263939,0.543,0.16,0
"HLA-DQA1",0,5.26059162131332,0.418,0.035,0
"HLA-C",0,1.2835847067885,0.852,0.472,0
"C1QB",0,7.64771364101149,0.391,0.016,0
"ARPC2",0,1.69485235389914,0.687,0.314,0
"HLA-DRB5",0,5.03533503944447,0.412,0.04,0
"RNF130",0,2.76911845836378,0.465,0.096,0
"CD74",0,4.42904758175915,0.738,0.371,0
"HMOX1",0,6.06284879924162,0.386,0.021,0
"FN1",0,4.70100009687833,0.47,0.106,0
"PLK2",0,-3.14349433201552,0.083,0.447,0
"ATP6V1F",0,2.27263089252275,0.533,0.169,0
"GADD45B",0,-2.49607555460944,0.355,0.719,0
"ZFAS1",0,-1.85862945279949,0.275,0.635,0
"LAIR1",0,5.31306468463115,0.371,0.012,0
"AL136454.1",0,-2.17859166011455,0.155,0.513,0
"GSTO1",0,2.2502749558898,0.49,0.134,0
"C1orf162",0,5.33746275927352,0.366,0.012,0
"FCGR1A",0,7.63709431877088,0.356,0.003,0
"LGALS1",0,2.27558820024474,0.787,0.435,0
"CD163",0,7.48227248969476,0.357,0.005,0
"TSC22D1",0,-2.47064440435427,0.125,0.477,0
"PFN1",0,1.76843601206355,0.904,0.553,0
"GNAI2",0,1.93238713008835,0.532,0.182,0
"JUND",0,-2.35020497931953,0.148,0.498,0
"RPS27",0,-1.77897527368033,0.464,0.814,0
"SOCS3",0,-3.33238781661932,0.131,0.478,0
"CTSA",0,2.94794143260982,0.415,0.07,0
"CRYAB",0,-4.95172375188385,0.043,0.387,0
"BRI3",0,2.07516131428756,0.577,0.233,0
"ATP5F1E",0,1.15531712131291,0.819,0.475,0
"CLDN4",0,-3.93462669257614,0.106,0.449,0
"HES1",0,-2.86162789354048,0.155,0.497,0
"IRF1",0,-3.31777181694679,0.113,0.454,0
"PLAUR",0,3.04882236548546,0.422,0.082,0
"NPC2",0,2.42320693446678,0.645,0.306,0
"MS4A4A",0,7.01395547084321,0.341,0.004,0
"SERTAD1",0,-2.98252178521454,0.076,0.413,0
"MFSD1",0,2.85184640865539,0.42,0.084,0
"ADAP2",0,5.73794168326986,0.344,0.008,0
"LGMN",0,4.4406955424121,0.398,0.066,0
"SNHG8",0,-1.91386468669903,0.16,0.491,0
"GLUL",0,2.62443777714173,0.623,0.294,0
"PERP",0,-1.65293953037473,0.099,0.427,0
"PLD3",0,2.96375309026019,0.487,0.159,0
"CSF1R",0,6.12580955262339,0.333,0.007,0
"IGSF6",0,6.20148736903586,0.331,0.007,0
"PSAP",0,3.15753772809081,0.846,0.523,0
"VSIG4",0,7.67395314836377,0.325,0.003,0
"APOE",0,4.42519830529443,0.577,0.256,0
"SAMHD1",0,3.01486144284268,0.38,0.06,0
"ALOX5AP",0,3.88510688965903,0.358,0.04,0
"BAIAP2L1",0,-1.98596241861914,0.143,0.46,0
"FOS",0,-2.39427202690277,0.582,0.899,0
"PNRC1",0,-1.38902356790293,0.394,0.711,0
"MNDA",0,4.81717593524937,0.324,0.008,0
"CPVL",0,4.15499935229839,0.344,0.028,0
"RPS25",0,-1.45448417057385,0.367,0.681,0
"CD86",0,6.2017434066323,0.318,0.005,0
"ACP5",0,4.00686282172864,0.368,0.056,0
"C5AR1",0,5.35463994803338,0.321,0.009,0
"LILRB4",0,6.91899978539555,0.315,0.003,0
"S100A9",0,2.89464551462817,0.348,0.04,0
"IER3",0,-2.05292643657664,0.393,0.7,0
"NFIB",0,-4.85244688330946,0.015,0.318,0
"SLC16A3",0,4.26188343581539,0.322,0.019,0
"OLR1",0,4.98515955357519,0.313,0.011,0
"CSRNP1",0,-3.05883212440752,0.06,0.361,0
"SOX4",0,-2.16973603765499,0.129,0.429,0
"C3AR1",0,6.21139034012862,0.305,0.005,0
"RPL13A",0,-1.68945182274613,0.589,0.886,0
"RPL24",0,-1.28581914610946,0.508,0.804,0
"SOX9",0,-4.23479162333774,0.023,0.319,0
"HLA-A",0,1.39933457431772,0.767,0.472,0
"KLF10",0,-2.42875620424762,0.14,0.432,0
"S100A11",0,1.71460931024114,0.859,0.568,0
"TIPARP",0,-3.42124579515669,0.044,0.335,0
"LY86",0,7.38124409913044,0.293,0.002,0
"FPR3",0,6.50904622168808,0.295,0.004,0
"GAS5",0,-2.50443099061718,0.072,0.362,0
"HEXIM1",0,-2.75621751931728,0.08,0.367,0
"SLCO2B1",0,6.64448803151183,0.287,0.003,0
"DUSP1",0,-1.58785455249787,0.494,0.776,0
"SYNE2",0,-2.53295758323095,0.068,0.347,0
"RPS3A",0,-1.42610652174233,0.484,0.76,0
"HLA-B",0,1.26033706201171,0.88,0.604,0
"ERRFI1",0,-2.63252330582789,0.069,0.344,0
"SAA1",0,-7.44816332723599,0.006,0.28,0
"KRT14",0,-7.65510921302195,0.006,0.277,0
"CD63",0,1.31203574849665,0.838,0.571,0
"SERF2",0,1.02924837163658,0.898,0.632,0
"AC099560.1",0,-1.44982870787181,0.569,0.833,0
"DNAJA1",0,-2.04051434243619,0.385,0.649,0
"JUN",0,-2.26050042812911,0.699,0.962,0
"RPL12",0,-1.24609929712414,0.574,0.837,0
"ID4",0,-3.41359017868857,0.031,0.293,0
"FBXO32",0,-3.5959737397752,0.046,0.308,0
"KRT7",0,-2.78723721625131,0.06,0.321,0
"ELF3",0,-3.86806842092169,0.034,0.288,0
"RPS18",0,-1.59916054465902,0.617,0.867,0
"RND3",0,-3.3203729478964,0.034,0.281,0
"RPL23A",0,-1.16965363525015,0.602,0.848,0
"CFL1",0,1.01945516875678,0.844,0.602,0
"KRT17",0,-7.4619711806665,0.01,0.248,0
"DEPP1",0,-4.05186278686442,0.025,0.261,0
"MIR205HG",0,-3.70368636424803,0.023,0.255,0
"KRT5",0,-7.87858649880314,0.001,0.223,0
"ECRG4",0,-5.92041033750372,0.007,0.224,0
"RPS8",0,-1.08921686072551,0.676,0.878,0
"RPL14",0,-1.05261083553377,0.664,0.861,0
"RPS4X",0,-1.20831363625334,0.672,0.868,0
"RPS12",0,-1.02613319542802,0.707,0.89,0
"RPS21",0,-1.06310893497945,0.713,0.888,0
"RPL34",0,-1.40723468364874,0.748,0.916,0
"RPS6",0,-1.43602341734856,0.774,0.932,0
"GAPDH",0,1.22522032570603,0.89,0.732,0
"RPL35A",0,-1.1913622512364,0.76,0.916,0
"UBC",0,-1.52099223477287,0.712,0.863,0
"TMSB4X",0,1.43325773939464,0.872,0.729,0
"HSP90AB1",0,-1.54752946490021,0.759,0.9,0
"RPL32",0,-1.08923956066057,0.779,0.905,0
"H3-3B",0,-1.24318659573341,0.814,0.939,0
"RPL36",0,-1.1635370912309,0.802,0.921,0
"RPS27A",0,-1.33993512271611,0.808,0.921,0
"EEF1A1",0,-0.947657936253119,0.816,0.92,0
"RPL37A",0,-1.07817733934171,0.841,0.941,0
"FTL",0,3.8974686848954,0.974,0.88,0
"RPL18",0,-0.963867725991951,0.818,0.906,0
"RPS3",0,-1.25456529270929,0.851,0.938,0
"RPS15",0,-0.885078181067154,0.814,0.9,0
"RPL11",0,-1.06111551018857,0.867,0.94,0
"RPS14",0,-0.917306303200344,0.858,0.921,0
"RPL30",0,-0.864820656811752,0.876,0.936,0
"RPL37",0,-1.06151046347456,0.901,0.957,0
"RPL31",0,-0.972275256085376,0.901,0.956,0
"RPL13",0,-1.33552995929225,0.913,0.946,0
"RPS29",0,-0.827406557593269,0.908,0.94,0
"B2M",0,1.61463181013722,0.996,0.965,0
"RPL5",0,-1.14493201969322,0.894,0.922,0
"TMSB10",0,1.11262393309034,0.894,0.866,0
"AMBRA1",9.88131291682493e-324,-1.09871756778463,0.639,0.816,2.67902155800958e-319
"LST1",1.97626258336499e-323,4.86903531298239,0.295,0.01,5.35804311601915e-319
"PSMA7",1.38338380835549e-322,1.09573825822261,0.794,0.506,3.75063018121341e-318
"RPS9",1.58101006669199e-322,-1.0125999060702,0.69,0.853,4.28643449281532e-318
"PPIB",2.76676761671098e-322,1.55248707300835,0.661,0.362,7.50126036242681e-318
"AP2S1",3.60272668947437e-320,1.98049527130187,0.493,0.153,9.76771260050291e-316
"CSTB",7.99101775583632e-320,2.55119766401311,0.582,0.284,2.16652473396234e-315
"COTL1",1.76243097184489e-319,2.85291809789941,0.384,0.068,4.77830285086588e-315
"PILRA",2.01213174925306e-319,5.05537948540375,0.293,0.01,5.4552915985749e-315
"CDKN1A",1.32858204691878e-318,-2.42062434849509,0.187,0.473,3.60205164560619e-314
"NOP53",2.45076322963092e-318,-1.57754263515499,0.226,0.545,6.64450926817535e-314
"TM4SF1",2.63625523570556e-318,-3.07534858538753,0.08,0.345,7.14741519504491e-314
"EIF1",1.20721679728046e-317,-0.950478138851068,0.862,0.917,3.27300618078678e-313
"NFKBIZ",7.687648603583e-317,-2.12120651859643,0.12,0.41,2.08427528940342e-312
"SRSF5",1.46481248383064e-314,-1.63426926631914,0.237,0.551,3.97139960616163e-310
"MT-ND1",1.2915079520538e-313,-0.724007160424089,0.939,0.974,3.50153635960827e-309
"KRT15",1.63826167704045e-313,-5.76757460624482,0.013,0.204,4.44165505879206e-309
"DST",1.6824248813227e-313,-2.93621609134384,0.114,0.384,4.56139033824212e-309
"TFAP2C",3.33264287377198e-313,-5.52244406443973,0.004,0.18,9.03546135937059e-309
"RPLP2",5.2619620592017e-313,-0.712979825915674,0.953,0.955,1.42662315349076e-308
"CREG1",9.60770928171165e-313,2.41061041480696,0.484,0.176,2.60484214045766e-308
"CD68",2.47414022953426e-312,6.73050152377048,0.273,0.003,6.70788899031327e-308
"CD84",2.65175954070771e-311,4.24274224694006,0.302,0.018,7.18945046676675e-307
"MT-ND2",3.90054441881495e-311,-0.745298736104435,0.956,0.979,1.05751560282911e-306
"ASAH1",1.8374749946919e-310,1.83268383099649,0.525,0.194,4.98176220560869e-306
"SYNGR2",9.18730365215156e-310,1.92302252559662,0.507,0.178,2.49086176617133e-305
"ANXA5",3.00803211898097e-308,1.57747669654143,0.597,0.279,8.15537668098119e-304
"RPL4",7.05474218709932e-307,-1.25360059680386,0.448,0.721,1.91268170176637e-302
"RPL10A",3.08627297084476e-306,-1.2459616484315,0.418,0.703,8.3675032785543e-302
"S100A4",1.11449741206963e-305,2.00294131361975,0.551,0.221,3.02162538360318e-301
"CIRBP",6.74616911810206e-305,-1.51856211917733,0.241,0.553,1.82902137129983e-300
"PTAFR",9.2395664387643e-305,4.94263603974149,0.28,0.009,2.50503125287778e-300
"NBEAL1",3.30801309422356e-303,-1.55013393663414,0.224,0.536,8.96868510105892e-299
"FPR1",7.14747471491813e-302,4.50896624746257,0.274,0.006,1.9378233447086e-297
"SYNM",1.4869191805338e-301,-5.79647271349553,0.005,0.176,4.03133528226323e-297
"TUBB4B",2.39406228199597e-301,-1.72114597003578,0.241,0.543,6.49078165894746e-297
"FGL2",2.45665230127203e-301,4.43136043720334,0.296,0.019,6.66047571920872e-297
"MCL1",3.20107529528719e-300,-1.58548848663392,0.267,0.571,8.67875534058263e-296
"MATN2",2.87676045224123e-299,-5.26232248901994,0.006,0.179,7.79947293811642e-295
"BAG3",3.64723002946978e-299,-2.44652412616939,0.106,0.373,9.88837005589846e-295
"CCL3",7.67802535816953e-299,3.76720471821072,0.396,0.1,2.08166623510692e-294
"RPS23",1.6537889071067e-298,-0.931102430113206,0.742,0.867,4.4837524849477e-294
"KLF5",3.72432138382377e-298,-4.54006949447402,0.009,0.186,1.0097380135823e-293
"ADAMTS1",1.22802712356407e-296,-3.56100525725001,0.026,0.228,3.32942713740692e-292
"HSP90AA1",4.96761168424879e-295,-1.62096952538717,0.786,0.896,1.34681887983353e-290
"ARPC5",8.61371714199741e-295,1.68363356204022,0.522,0.192,2.33535099153834e-290
"YBX3",1.33381520248651e-294,-1.95393307558259,0.174,0.46,3.61623977698143e-290
"MARCKS",7.53184110131134e-294,1.9638847290249,0.524,0.216,2.04203275938753e-289
"MAMDC2",4.32681809764853e-293,-1.42210826548585,0.261,0.571,1.17308692263447e-288
"RGS1",5.0410540537096e-293,2.76199134449591,0.393,0.091,1.36673057504175e-288
"HSPA1A",8.98925950205269e-293,-2.20259192375385,0.58,0.771,2.43716803619652e-288
"CEBPD",1.10669265745014e-292,-2.08608018366606,0.426,0.67,3.00046513287881e-288
"SRSF3",1.576392349816e-292,-1.60933097142284,0.258,0.556,4.27391493882114e-288
"APP",4.32628174938842e-291,-1.87999606905782,0.185,0.473,1.17294150789419e-286
"RPLP1",1.73163543531098e-290,-0.70265313655144,0.988,0.975,4.69480999221512e-286
"SNHG5",4.58530074857973e-288,-1.61696166322402,0.196,0.494,1.24316673895494e-283
"CXCL16",1.17138295357885e-287,2.84868608584945,0.371,0.078,3.17585346374297e-283
"PLEKHA7",1.91457144505516e-287,-1.06413395389632,0.491,0.756,5.19078610183354e-283
"ATP6V0E1",4.81136208485474e-286,1.34588844975751,0.615,0.288,1.30445648844582e-281
"TSPO",3.51258083215509e-285,1.57370468029642,0.557,0.237,9.52330915213887e-281
"OOEP",4.72086215683736e-285,-1.29341092162316,0.391,0.666,1.27992014796174e-280
"PTPRC",1.26041755360121e-284,1.40074033850944,0.441,0.105,3.4172440713236e-280
"HCK",1.60142046282564e-284,5.45595249614448,0.258,0.005,4.34177115881288e-280
"S100A10",1.37594960412885e-281,1.51489849136575,0.668,0.395,3.73047456671414e-277
"RPS24",1.06692285417177e-280,-0.945146031768604,0.669,0.835,2.89264124223049e-276
"SLC11A1",1.39478679140707e-280,5.03968921669537,0.262,0.008,3.78154594886286e-276
"MT-CYB",1.47403018972475e-279,-0.664155789466659,0.976,0.985,3.99639065038176e-275
"RSRP1",1.62443230882072e-278,-1.92839639317615,0.166,0.443,4.40416087567472e-274
"SAV1",1.41396517962684e-277,-2.4910714100981,0.055,0.282,3.8335423950043e-273
"RPS15A",3.30784375994415e-277,-1.13043928612096,0.407,0.697,8.96822600196059e-273
"MPP1",7.03896237057917e-276,4.35604919431403,0.271,0.016,1.90840347791142e-271
"MT-ND4L",4.36861720645914e-275,-1.16190370161775,0.402,0.695,1.1844194970152e-270
"LY96",6.90073173553076e-275,3.49422653327176,0.293,0.028,1.8709263881371e-270
"IFRD1",3.08627746479655e-272,-2.6807125125745,0.054,0.275,8.36751546255641e-268
"LGALS9",5.98557800962015e-272,3.59597928276786,0.289,0.027,1.62280990996821e-267
"TSPYL2",1.99559543431882e-270,-2.78131179419841,0.048,0.263,5.41045834152518e-266
"PGK1",3.75380364964401e-270,1.83896653451601,0.495,0.189,1.01773124549148e-265
"GRB2",8.08447638433003e-269,2.08377396201295,0.42,0.122,2.19186323731956e-264
"LRP1",1.56887099169751e-268,2.06976117616256,0.418,0.119,4.25352303269029e-264
"DDX5",1.07337500933287e-267,-1.19054194317397,0.739,0.845,2.91013432530326e-263
"CAPZB",3.92176510161363e-265,1.46289667056792,0.556,0.247,1.06326895434949e-260
"VAMP8",6.71836156817502e-264,1.67478617152459,0.51,0.21,1.82148218836361e-259
"ARHGAP18",7.60074284094678e-263,2.77358666670168,0.323,0.052,2.06071339903749e-258
"GAL3ST4",1.59630820866189e-261,5.51674680210174,0.242,0.006,4.32791081532411e-257
"NTN4",2.56356657883611e-261,-3.15931212531784,0.026,0.211,6.95034170854045e-257
"NOP10",3.40054191303361e-260,1.91264159763305,0.438,0.141,9.21954923461671e-256
"HEXB",4.9119870112645e-260,2.16767118878104,0.4,0.111,1.33173791849403e-255
"RPL41",6.19801277390797e-259,-1.13790900232066,0.372,0.658,1.68040522326193e-254
"RPL15",3.1682281468683e-258,-0.729319883213728,0.916,0.927,8.58970015178933e-254
"HSP90B1",5.70115925496827e-258,1.10523447161185,0.797,0.602,1.545698297207e-253
"S100A8",1.53437944664281e-257,3.38587972467514,0.262,0.018,4.16000955573798e-253
"CLIC1",5.93694506528302e-255,1.37228121146497,0.584,0.289,1.60962454609953e-250
"AC138123.1",7.98944363795795e-255,-2.35548009298048,0.058,0.274,2.16609795912316e-250
"LCP1",9.3230781009447e-255,2.03960297434325,0.373,0.085,2.52767293472813e-250
"EFNA1",2.53762870388662e-254,-2.84017008856463,0.037,0.233,6.8800189419774e-250
"FYB1",9.7426611269555e-254,2.08847810954484,0.352,0.07,2.64143028474018e-249
"WFDC2",3.13622504271765e-253,-3.31342721509097,0.038,0.231,8.50293333581609e-249
"CCL28",7.26374820468343e-253,-5.33942768769511,0.007,0.158,1.96934741325377e-248
"NFKBIA",1.107337921311e-252,-1.04170903355175,0.463,0.744,3.00221457225838e-248
"TOB1",1.93732650243199e-252,-2.1448932189088,0.091,0.329,5.25247961339362e-248
"CHCHD3",2.18120430802175e-252,-1.32682005700431,0.299,0.576,5.91368111990856e-248
"ME2",2.37042757737906e-252,3.305326037343,0.302,0.045,6.42670324779012e-248
"LIPA",5.81007055009368e-252,3.4811736574224,0.317,0.058,1.5752263275414e-247
"ANXA2",9.91349372625998e-252,1.21103800408995,0.759,0.59,2.68774641906361e-247
"CLK1",1.13535494533661e-251,-1.84844133518297,0.126,0.382,3.07817432779662e-247
"RNASE6",3.16690050388885e-251,6.53785644582808,0.228,0.003,8.58610064614346e-247
"LBH",3.94549767968e-251,-2.64345221769862,0.045,0.246,1.06970333091484e-246
"NPL",7.1164074513728e-251,4.04350344410614,0.259,0.019,1.92940038821619e-246
"MRC1",2.58515454845493e-250,6.31574522418863,0.231,0.005,7.00887101177101e-246
"EEF2",2.66902485622047e-250,-1.14289621449964,0.455,0.702,7.23626019018493e-246
"SDS",2.91472804665652e-250,5.88047246536895,0.239,0.009,7.90241068009516e-246
"KRT8",6.17513506899708e-250,-1.49875726501761,0.19,0.475,1.67420261990649e-245
"RNASE1",7.36843672300397e-250,5.82005098996335,0.271,0.029,1.99773056434084e-245
"PRDX1",7.75651524746726e-250,1.08663883245547,0.75,0.521,2.10294641389332e-245
"NTRK2",1.81663729421148e-246,-3.89429960708731,0.015,0.175,4.92526703206615e-242
"KLF9",2.72017717079706e-246,-2.92489260703214,0.043,0.238,7.37494434546499e-242
"RPS28",2.75837705914452e-246,-1.12172759373899,0.505,0.723,7.47851188275262e-242
"PLEK",6.71988676854414e-246,3.62917108112114,0.248,0.014,1.82189570068769e-241
"COL17A1",2.87665681550441e-245,-8.05824593515106,0,0.132,7.79919195819557e-241
"GRAMD2B",3.48235512059108e-245,-3.70546328649996,0.016,0.178,9.44136120294654e-241
"AKR1A1",9.21526494436344e-244,1.97165241626414,0.396,0.114,2.49844263171582e-239
"LYN",1.71822562492819e-243,2.73819621080167,0.309,0.052,4.65845331430532e-239
"TSHZ2",1.77480812282247e-243,-3.56416024748608,0.017,0.18,4.81185978259629e-239
"FTH1",3.28998249663723e-243,1.29797558129808,0.977,0.98,8.91980054488285e-239
"POMP",3.64289329526216e-243,1.45724583038087,0.513,0.212,9.87661230211477e-239
"SSR4",1.04366357386521e-242,1.87485625614641,0.557,0.267,2.82958068146335e-238
"RBM39",3.56782412714911e-242,-1.20959697059451,0.32,0.596,9.67308477352667e-238
"MT-ND3",9.22821859099939e-242,-0.731650601270065,0.914,0.944,2.50195462439175e-237
"GADD45A",1.22019936063636e-239,-2.35702952531414,0.09,0.316,3.30820450655729e-235
"CD4",3.15268110657865e-239,4.19425848563561,0.239,0.013,8.54754901615604e-235
"EGR3",1.01886760722726e-238,-3.55911000747028,0.018,0.18,2.76235385671454e-234
"KIAA1217",1.94799990137032e-238,-2.35392725739023,0.063,0.273,5.28141733259521e-234
"UQCR10",2.601625289265e-238,1.41606826415933,0.525,0.228,7.05352648425527e-234
"YWHAH",4.54356729377484e-238,2.48433530919692,0.373,0.107,1.23185196468824e-233
"RPL7A",6.368412300425e-238,-0.922861195056288,0.594,0.788,1.72660394289123e-233
"NEDD9",3.1218566292782e-237,-3.03761050316715,0.034,0.215,8.46397769329906e-233
"DDX3X",6.79762451311559e-237,-1.7580166062132,0.196,0.454,1.8429719579959e-232
"ANXA3",3.16990076657409e-236,-3.56011580281931,0.016,0.173,8.59423495833567e-232
"ARL4A",3.57197487951215e-236,-2.65888433581336,0.058,0.261,9.68433829333333e-232
"GPNMB",3.61887254800091e-236,2.46718586341959,0.458,0.196,9.81148725214005e-232
"KLF4",1.05438428839086e-235,-1.73814471777246,0.165,0.422,2.85864668268529e-231
"RPN2",5.89700426414122e-235,1.48565340325887,0.491,0.199,1.59879579609397e-230
"NDUFB2",9.14335809024303e-235,1.31539120667897,0.547,0.249,2.47894724542669e-230
"PIK3R1",3.79947466331671e-234,-2.1377361752221,0.095,0.322,1.03011357071843e-229
"PPT1",6.62750594922458e-234,1.93730649561399,0.412,0.136,1.79684941295377e-229
"RPL23",6.07732408691313e-233,-0.565290923066018,0.773,0.876,1.64768410644389e-228
"MARCHF1",9.2879620363162e-232,5.21771686888628,0.22,0.006,2.51815226728605e-227
"ACTB",1.00291060482752e-230,1.01287949874847,0.93,0.9,2.71909123180838e-226
"TMEM176B",1.20468670346477e-230,2.45667861119873,0.366,0.106,3.26614659043367e-226
"HM13",5.56352697520954e-230,1.95196991059068,0.385,0.114,1.50838343351881e-225
"CNN1",8.76007710988531e-230,-3.75479303495648,0.018,0.174,2.3750321060321e-225
"MYLIP",1.00888414546884e-227,-2.88331134062217,0.035,0.213,2.73528669519513e-223
"SDCBP",3.54090630793724e-227,1.66880676836792,0.451,0.175,9.60010518207946e-223
"HCLS1",7.78989518015248e-227,2.96217512131083,0.268,0.034,2.11199638124294e-222
"EFEMP1",1.00110354863325e-226,-2.81739206066587,0.025,0.19,2.71419194105447e-222
"RHOA",1.05299508910642e-226,0.967382872671979,0.704,0.452,2.85488028558531e-222
"IL18",7.01874817379686e-226,4.52235445437222,0.226,0.012,1.9029230048798e-221
"DSP",1.73097140834505e-225,-1.89753896876684,0.078,0.295,4.69300968230511e-221
"CLEC7A",3.28571726987542e-225,4.52088336722437,0.217,0.007,8.90823666208624e-221
"ARRB2",7.89510880636127e-224,3.60655586153308,0.243,0.022,2.14052189958067e-219
"TBXAS1",1.56418200767896e-223,4.19681952799302,0.226,0.012,4.24081025921919e-219
"CAP1",2.05025045981731e-223,1.5595637493551,0.473,0.195,5.55863904665669e-219
"RPL8",8.55120027626665e-222,-0.735112766324974,0.841,0.9,2.31840141890141e-217
"RPL18A",1.04862161264946e-221,-1.37511357945426,0.236,0.496,2.84302291621521e-217
"EHF",2.62503694432591e-221,-3.9913432523105,0.013,0.159,7.11700016345641e-217
"DDIT3",2.63300829766265e-220,-2.42555211440748,0.075,0.28,7.13861209662299e-216
"FCGR2B",5.30071357583003e-220,6.10109546839212,0.207,0.004,1.43712946467904e-215
"RPS5",9.26357735888985e-220,-0.898707492433362,0.572,0.791,2.51154109354222e-215
"BHLHE40",3.21425743237595e-219,-1.78215868297893,0.221,0.468,8.71449475065767e-215
"STAB1",5.77022485129397e-219,5.07826662827173,0.212,0.007,1.56442336168282e-214
"HSPH1",1.12534969433259e-218,-2.22378192522774,0.23,0.463,3.05104809127451e-214
"NCOA7",4.53719795727467e-218,-2.58894728705442,0.062,0.256,1.23012511017631e-213
"EFNB2",7.86096460987807e-218,-4.42378116310406,0.008,0.142,2.13126472503014e-213
"NEAT1",4.64138866954001e-216,-1.40444337229233,0.388,0.636,1.25837329608569e-211
"P4HB",7.72833891606284e-216,1.38926491114087,0.54,0.265,2.09530724692296e-211
"PLA2G7",8.21219608075302e-216,5.35328917311996,0.212,0.009,2.22649060141376e-211
"SLC7A7",1.8956621191007e-214,5.33257326979299,0.204,0.005,5.13951913730583e-210
"GEM",1.98387176648652e-214,-2.76687287507046,0.058,0.248,5.37867313329825e-210
"PKM",1.43057291868985e-213,1.24951382834906,0.6,0.346,3.87856929715191e-209
"PIK3C2G",1.75043006344325e-213,-5.75841700524853,0.002,0.123,4.74576598800733e-209
"RASSF4",4.06617024768345e-213,3.56798552883594,0.237,0.023,1.10242007755194e-208
"ANKRD30A",4.61570041469827e-213,-2.21417359225924,0.089,0.297,1.251408696433e-208
"CCN2",4.67274557159966e-212,-0.696077795536002,0.091,0.319,1.2668747793721e-207
"MGAT1",3.29591820734327e-211,2.29036446296619,0.313,0.072,8.93589344374906e-207
"PTN",4.70437810986142e-211,-3.78619455861282,0.034,0.2,1.27545099314563e-206
"GPR183",4.76242747587599e-211,3.11727929360565,0.26,0.038,1.2911893372595e-206
"ENG",1.09083550128919e-209,2.76024886716453,0.265,0.04,2.95747321109526e-205
"NCF2",9.67381695145684e-209,4.544078912837,0.202,0.006,2.62276525187898e-204
"MYDGF",2.37605047539579e-208,1.61634001489688,0.425,0.16,6.44194804889306e-204
