"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006119","oxidative phosphorylation","40/926","148/18860",0.27027027027027,5.5046407098243,12.5013568298689,2.85557867322058e-19,1.35665946784098e-16,9.56413909691103e-17,"ATP5F1E/UQCR10/NDUFB2/RHOA/MACROH2A1/COX7B/ATP5PD/COX6B1/NDUFA3/COX5B/BID/COX5A/NDUFA6/NDUFB3/ATP5PB/UQCRQ/NDUFA1/NDUFB1/PPIF/ATP5PF/MTCH2/COX7A2/NDUFAB1/NDUFA2/DNAJC15/ATP5F1C/PARK7/NDUFS6/UQCC2/ATP5ME/CYC1/ANTKMT/UQCRC1/GHITM/TNF/NDUFS8/NDUFB11/NDUFS7/NDUFA12/NDUFB5",40
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","21/926","35/18860",0.6,12.2203023758099,15.0972320894057,3.14952321506039e-19,1.3716173601588e-16,9.66958881816786e-17,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/TREM2/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGMN/B2M/MARCHF1/FCGR2B/PYCARD/UNC93B1/HLA-DOA/HLA-DQA2",21
"GO:0009060","aerobic respiration","57/926","297/18860",0.191919191919192,3.90885092828937,11.4815850832969,4.35369949301637e-19,1.75018719619258e-16,1.23384196158359e-16,"ATP5F1E/GAPDH/PGK1/LIPA/UQCR10/NDUFB2/RHOA/PKM/UCP2/MACROH2A1/ENO1/TPI1/COX7B/ATP5PD/HK3/COX6B1/NDUFA3/IDH1/COX5B/BID/COX5A/NDUFA6/NDUFB3/ATP5PB/UQCRQ/ADPGK/NDUFA1/NDUFB1/PPIF/ATP5PF/MTCH2/COX7A2/FBP1/NDUFAB1/NDUFA2/DNAJC15/ATP5F1C/PARK7/NDUFS6/LDHA/BCKDK/UQCC2/ATP5ME/CYC1/ANTKMT/HIF1A/UQCRC1/GHITM/IDH2/TNF/NDUFS8/NDUFB11/NDUFS7/PFKL/NDUFA12/NDUFB5/CAT",57
"GO:0002429","immune response-activating cell surface receptor signaling pathway","62/926","353/18860",0.175637393767705,3.57723676723426,11.10707998952,1.22688711600209e-18,4.57979433444782e-16,3.22865030526867e-16,"CYBA/TYROBP/FCER1G/LAPTM5/HLA-DRB1/HLA-DPB1/CD14/HLA-DQB1/TREM2/CD53/MNDA/C5AR1/LILRB4/C3AR1/HLA-A/FPR3/FPR1/PTPRC/HCK/LY96/GRB2/FYB1/LIPA/LYN/CLEC7A/FCGR2B/CD300A/CD81/SYK/CMTM3/PIK3AP1/NCKAP1L/THEMIS2/IGHG4/LAT2/SCIMP/MEF2C/TLR1/TLR2/LCP2/NINJ1/IGHG3/BAX/IGHG1/OAS1/BLVRA/CSK/LPXN/PTPN6/THY1/RAP1A/LGALS3/IGHM/IFI35/C3/SPG21/INPP5D/PAK1/CD47/NMI/GBP1/IGHA1",62
"GO:0006935","chemotaxis","73/926","474/18860",0.154008438818565,3.13671615131549,10.7057874476066,2.15457639594892e-18,7.50654416348605e-16,5.29194202513771e-16,"FCER1G/AIF1/ITGB2/SPI1/TREM2/CD74/PLAUR/LGMN/CSF1R/C5AR1/S100A9/C3AR1/FPR3/TMSB4X/PPIB/S100A4/PTAFR/FPR1/CCL3/CXCL16/MPP1/LGALS9/S100A8/LYN/GPNMB/RHOA/ARRB2/PLA2G7/GPR183/ENG/RHOG/PLAU/CALR/CXCL8/SYK/LSP1/SLAMF8/ALOX5/NRP1/CMTM3/NCKAP1L/CCR1/GPSM3/IL1B/CCL3L3/GSTP1/RAC1/TREM1/CCL4/TGFB1/CXCR4/ADAM8/NINJ1/PPIA/CORO1A/TYMP/NRP2/BIN2/P2RX4/DOCK4/BLVRA/DOCK2/CORO1C/RALA/CORO1B/LGALS3/CXCL3/PREX1/BSG/C3/RAC2/ITGAV/STX4",73
"GO:0042330","taxis","73/926","476/18860",0.153361344537815,3.12353667168811,10.6627561392956,2.73936667664926e-18,8.94745640760563e-16,6.30775221596868e-16,"FCER1G/AIF1/ITGB2/SPI1/TREM2/CD74/PLAUR/LGMN/CSF1R/C5AR1/S100A9/C3AR1/FPR3/TMSB4X/PPIB/S100A4/PTAFR/FPR1/CCL3/CXCL16/MPP1/LGALS9/S100A8/LYN/GPNMB/RHOA/ARRB2/PLA2G7/GPR183/ENG/RHOG/PLAU/CALR/CXCL8/SYK/LSP1/SLAMF8/ALOX5/NRP1/CMTM3/NCKAP1L/CCR1/GPSM3/IL1B/CCL3L3/GSTP1/RAC1/TREM1/CCL4/TGFB1/CXCR4/ADAM8/NINJ1/PPIA/CORO1A/TYMP/NRP2/BIN2/P2RX4/DOCK4/BLVRA/DOCK2/CORO1C/RALA/CORO1B/LGALS3/CXCL3/PREX1/BSG/C3/RAC2/ITGAV/STX4",73
"GO:0002274","myeloid leukocyte activation","51/926","255/18860",0.2,4.07343412526998,11.2280775354026,5.31611264505549e-18,1.63423556959176e-15,1.1520987156467e-15,"TYROBP/FCER1G/AIF1/GRN/FCGR3A/ITGB2/CTSC/SPI1/C1QA/TREM2/CD74/FN1/VSIG4/C5AR1/LILRB4/CD84/CCL3/PTPRC/SLC11A1/LGALS9/VAMP8/LYN/IL18/FCGR2B/HAVCR2/CD300A/PYCARD/CD37/CXCL8/SYK/ADAM9/IFNGR1/LAT2/TLR1/IFNGR2/TGFB1/LCP2/GPR137B/DOCK2/MCUB/PTPN6/PTPRE/IFI35/PREX1/STXBP2/RAC2/TNF/NMI/LTBR/STX4/MT1G",51
"GO:0006091","generation of precursor metabolites and energy","74/926","494/18860",0.149797570850202,3.05095268491881,10.4963442710747,6.12346626604417e-18,1.75747883272776e-15,1.23898239864386e-15,"ATP5F1E/GAPDH/PGK1/LIPA/UQCR10/NDUFB2/RHOA/PKM/UCP2/MACROH2A1/ENO1/GAA/TPI1/TALDO1/COX7B/ATP5PD/PGD/HK3/COX6B1/NDUFA3/GNPDA1/IDH1/COX5B/BID/COX5A/NDUFA6/NDUFB3/ATP5PB/TKT/COMT/UQCRQ/ADPGK/NDUFA1/OAS1/POR/NDUFB1/IFNAR1/PPIF/ATP5PF/MTCH2/COX7A2/FBP1/NDUFAB1/ATG3/NDUFA2/DNAJC15/PPP1CA/ATP5F1C/PARK7/NDUFS6/SELENOS/LDHA/BCKDK/UQCC2/ATP5ME/COX17/CYC1/ANTKMT/HIF1A/UQCRC1/GHITM/IDH2/TNF/NDUFS8/PRELID1/NDUFB11/NDUFS7/PFKL/NDUFA12/NDUFB5/PGLS/MTLN/ETFB/CAT",74
"GO:0007159","leukocyte cell-cell adhesion","69/926","439/18860",0.157175398633257,3.20121816222812,10.6038844656494,6.38960922729188e-18,1.75747883272776e-15,1.23898239864386e-15,"LAPTM5/AIF1/HLA-DRB1/HLA-DPA1/HLA-DRA/ITGB2/HLA-DPB1/HLA-DQB1/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGALS1/VSIG4/CD86/LILRB4/S100A9/OLR1/HLA-A/B2M/FGL2/PTPRC/LGALS9/GRB2/S100A8/LYN/CD4/GPNMB/ACTB/RHOA/IL18/IL4I1/TNFSF13B/HAVCR2/CD300A/PYCARD/CD37/CD81/SYK/ALOX5/FERMT3/PECAM1/NCKAP1L/LILRB2/IL1B/HLA-DOA/HLA-E/LILRB1/HLA-DQA2/SIRPA/SELPLG/GPR65/VSIR/TGFB1/CD44/ADAM8/CORO1A/MSN/ITGA4/CSK/PTPN6/THY1/LGALS3/RAC2/TNF/IL7R/CD47/DOCK8/ITGB1",69
"GO:0050867","positive regulation of cell activation","65/926","401/18860",0.162094763092269,3.30141169753801,10.5849462851984,1.2299317943808e-17,3.21381177871702e-15,2.2656638317541e-15,"TYROBP/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DRA/CTSC/HLA-DPB1/HLA-DQB1/SPI1/TREM2/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGALS1/CD86/LILRB4/HLA-A/B2M/CCL3/PTPRC/LGALS9/GRB2/PLEK/LYN/CD4/ACTB/RHOA/IL18/CLEC7A/GPR183/IL4I1/TNFSF13B/HAVCR2/PYCARD/CD81/SYK/NCKAP1L/LILRB2/IL1B/HLA-DOA/HLA-E/LILRB1/HLA-DQA2/SIRPA/MEF2C/GPR65/VSIR/TGFB1/ADAM8/MMP14/CORO1A/CSK/PTPN6/THY1/SH3KBP1/CD40/TNF/IL7R/INPP5D/CD47/DOCK8/FLNA/DDRGK1",65
"GO:0002696","positive regulation of leukocyte activation","63/926","381/18860",0.165354330708661,3.36779986734919,10.6094895136654,1.44508519436962e-17,3.59619772655982e-15,2.53523718310459e-15,"TYROBP/AIF1/FCGR3A/HLA-DRB1/HLA-DPA1/HLA-DRA/CTSC/HLA-DPB1/HLA-DQB1/SPI1/TREM2/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/LGALS1/CD86/LILRB4/HLA-A/B2M/CCL3/PTPRC/LGALS9/GRB2/LYN/CD4/ACTB/RHOA/IL18/CLEC7A/GPR183/IL4I1/TNFSF13B/HAVCR2/PYCARD/CD81/SYK/NCKAP1L/LILRB2/IL1B/HLA-DOA/HLA-E/LILRB1/HLA-DQA2/SIRPA/MEF2C/GPR65/VSIR/TGFB1/ADAM8/MMP14/CORO1A/CSK/PTPN6/THY1/SH3KBP1/CD40/TNF/IL7R/INPP5D/CD47/DOCK8/DDRGK1",63
"GO:0019884","antigen processing and presentation of exogenous antigen","23/926","50/18860",0.46,9.36889848812095,13.4643423395759,1.83312680635e-17,4.35450940453869e-15,3.06982958001196e-15,"FCER1G/CTSS/HLA-DRB1/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB1/CTSL/HLA-DMB/HLA-DQA1/HLA-DRB5/CD74/FCGR1A/LGMN/HLA-A/B2M/FCGR2B/MPEG1/UNC93B1/HLA-DOA/HLA-E/HLA-DQA2/HLA-F",23
